first_release_date,genres,id,name,platforms,summary,storyline
1602460800,"[12, 13]",149355,The Test: Final Revelation,[6],The third chapter in The Test Trilogy Answer a series of indepth questions to reveal hidden truths about yourself and unlock secrets to discover who you really are as a person The Final Revelation is upon us but are you sure you TRULY want the answers you seek,Missing
1604016000,"[31, 32]",149336,Don't Die! Douche!,[6],Charge your way through 5 feverdream induced worlds dodging a plethora of bizarre dangers on your way And remember Dont Die Douche,Missing
1603411200,"[31, 32]",149331,Nerm the Worm,[6],Nerm the Worm was developed from the heart with the goal of offering a brand new super funtoplay snake game with unique twists  new turns Nerm presents challenging goals an adorable personality and fifty grueling levels to progress through Nerm just wants to escape Can you help him,Missing
1601942400,[32],149321,Redd's Runaway,[6],Stop the Underworlds hordes of demons and ghouls in this Arcade game inspired by the Day of the Dead and Halloween,Missing
1601942400,"[13, 15, 32]",149269,Ordeal,[6],Ordeal is a thirdperson shooter with a WWII setting and a Low Poly style,Missing
1602633600,Missing,149259,Remalmok,[6],Remalmok is a first person horror game,Missing
1601596800,"[8, 13, 31, 32]",149239,True Hate,[6],Die again and again to start all over again the taste of victory is sweeter if the path to it is through pain and suffering,Missing
1602979200,"[15, 31, 32]",149206,JungleKnight,[6],This is a casual puzzle game there will be small monsters on the road the knight in order to get food need to avoid these monsters in order to get food forward,Missing
1601683200,"[13, 31, 32]",149130,Walking Girl: Dead Parking,[6],This is a postapocalyptical shooter which you fighting versus scared zombies Your fight area it is an abandoned parking with huge numer of ugly zombies You have a different types of ammunations many patrons and one area,Missing
1602115200,"[31, 32]",149105,Quiet Valley,[6],Explore and uncover the mysteries behind the haunted Quiet Valley High School Classic style indie horror with an abstract disorienting visual style Make your way through to discover the two different endings,Missing
1602201600,"[15, 32]",149044,Eyeb,[6],Eyeb is an action packed tower defenselike that pits a young space cadets bionic eyeball against a harrowing nanobot invasion Push out explore power up and drop a trillion towers for the glory of facing off with the diabolical NanoLord You can also go fishing in space,Missing
1603670400,[32],149032,Ratten Reich: Dance of Kings,[6],Ratten Reich Dance of Kings is a game set in the Ratten Reich universe The world of RR is immersed in a world war that resembles the first world war and the main population is anthropomorphic mice rats and cockroaches There are two stories to learn from the RR universe,Missing
